company_name|symbol|sector_name|subsector_name|listing_date
Grand Plaza Hotel Corporation|GPH|SERVICES|HOTEL & LEISURE|December 10, 1992
Greenergy Holdings Incorporated|GREEN|INDUSTRIAL|ELECTRICAL COMPONENTS & EQUIP.|September 26, 1996
Ginebra San Miguel, Inc.|GSMI|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|April 18, 1995
GT Capital Holdings, Inc.|GTCAP|HOLDING FIRMS|HOLDING FIRMS|April 20, 2012
GT Capital Holdings, Inc. Non-Voting Perpetual Preferred Shares Series ``A``|GTPPA|HOLDING FIRMS|HOLDING FIRMS|October 27, 2016
GT Capital Holdings, Inc. Non-Voting Perpetual Preferred Shares Series ``B``|GTPPB|HOLDING FIRMS|HOLDING FIRMS|October 27, 2016
House of Investments, Inc.|HI|HOLDING FIRMS|HOLDING FIRMS|July 02, 1962
HOLCIM PHILIPPINES, INC.|HLCM|||June 17, 1996
AllHome Corp.|HOME|SERVICES|RETAIL|October 10, 2019
8990 Holdings, Inc.|HOUSE|PROPERTY|PROPERTY|December 09, 2010
Haus Talk, Inc.|HTI|SME|SME|January 17, 2022
Golden MV Holdings, Inc.|HVN|PROPERTY|PROPERTY|June 29, 2016
I-Remit, Inc.|I|FINANCIALS|OTHER FINANCIAL INSTITUTIONS|October 17, 2007
International Container Terminal Services, Inc.|ICT|SERVICES|TRANSPORTATION SERVICES|March 23, 1992
Italpinas Development Corporation|IDC|SME|SME|December 07, 2015
Integrated Micro-Electronics, Inc.|IMI|INDUSTRIAL|ELECTRICAL COMPONENTS & EQUIP.|January 21, 2010
Imperial Resources, Inc.|IMP|SERVICES|INFORMATION TECHNOLOGY|August 31, 1970
Philippine Infradev Holdings Inc.|INFRA|PROPERTY|PROPERTY|February 27, 1978
Ionics, Inc.|ION|INDUSTRIAL|ELECTRICAL COMPONENTS & EQUIP.|July 18, 1995
IPM Holdings, Inc.|IPM|SERVICES|OTHER SERVICES|June 17, 1998
iPeople, Inc.|IPO|SERVICES|EDUCATION|January 24, 1990
Island Information & Technology, Inc.|IS|SERVICES|INFORMATION TECHNOLOGY|December 06, 1988
Jackstones, Inc.|JAS|SERVICES|INFORMATION TECHNOLOGY|October 27, 1967
Jollibee Foods Corporation|JFC|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|July 14, 1993
Jollibee Foods Corporation Non-Voting Perpetual Series A Preferred Shares|JFCPA|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|October 14, 2021
Jollibee Foods Corporation Non-Voting Perpetual Series B Preferred Shares|JFCPB|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|October 14, 2021
JG Summit Holdings, Inc.|JGS|HOLDING FIRMS|HOLDING FIRMS|August 09, 1993
Jolliville Holdings Corporation|JOH|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|June 17, 2002
The Keepers Holdings, Inc.|KEEPR|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|September 03, 1991
Keppel Philippines Properties, Inc.|KEP|PROPERTY|PROPERTY|September 11, 1989
Keppel Philippines Holdings, Inc. ``A``|KPH|HOLDING FIRMS|HOLDING FIRMS|August 26, 1987
Keppel Philippines Holdings, Inc. ``B``|KPHB|HOLDING FIRMS|HOLDING FIRMS|August 26, 1987
Kepwealth Property Phils., Inc.|KPPI|SME|SME|August 19, 2019
City & Land Developers, Incorporated|LAND|PROPERTY|PROPERTY|December 13, 1999
LBC Express Holdings, Inc.|LBC|SERVICES|TRANSPORTATION SERVICES|December 21, 2001
Lepanto Consolidated Mining Company ``A``|LC|MINING & OIL|MINING|April 30, 1947
Lepanto Consolidated Mining Company ``B``|LCB|MINING & OIL|MINING|April 30, 1947
